cve_id,component,severity,cvss_vector,year,version_rule,ref_count,summary
CVE-2025-3467,Dify,HIGH,CVSS:3.0/AV:N/AC:L/PR:L/UI:R/S:U/C:H/I:H/A:H,2025,"version > ""0"" && version < ""1.1.3""",3,Dify 中影响 Firefox 1.1.3 之前版本的 XSS 漏洞
CVE-2025-55182,Dify,CRITICAL,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,2025,"version >= ""0.9"" && version < ""1.10.1""",1,Dify 中由于不安全的原型引用导致的远程代码执行 (RCE) 漏洞。
CVE-2025-56157,Dify,CRITICAL,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,2025,"version <= ""1.5.1""",9,Dify 的 docker-compose.yaml 文件中包含默认凭据，导致未经授权的访问。
CVE-2025-56520,Dify,MEDIUM,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:L/I:N/A:N,2025,"version == ""1.6.0""",2,Dify v1.6.0 中的服务器端请求伪造 (SSRF)
CVE-2025-63386,Dify,CRITICAL,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:N,2025,"version == ""1.9.1""",4,Dify v1.9.1 的 /console/api/setup 端点存在 CORS 配置错误漏洞。
CVE-2025-63387,Dify,HIGH,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:N/A:N,2025,"version == ""1.9.1""",7,Dify v1.9.1 存在不安全权限漏洞，允许未经身份验证的用户访问敏感系统配置数据。
CVE-2025-63388,Dify,CRITICAL,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:N,2025,"version == ""1.9.1""",4,Dify v1.9.1 存在 CORS 配置错误漏洞，允许未经授权的跨域请求。
CVE-2026-34082,Dify,MEDIUM,,2026,"version < ""1.13.1""",2,Dify 存在越权漏洞（IDOR），允许任意已认证用户删除他人的聊天会话记录
CVE-2026-41947,Dify,HIGH,CVSS:3.1/AV:N/AC:H/PR:N/UI:N/S:U/C:H/I:H/A:N,2026,"version <= ""1.14.1""",3,Dify Trace 配置端点授权绕过漏洞
CVE-2026-41948,Dify,HIGH,CVSS:3.1/AV:N/AC:H/PR:N/UI:N/S:U/C:H/I:H/A:L,2026,"version <= ""1.14.1""",3,Dify 通过插件守护进程内部 REST API 的路径穿越漏洞
CVE-2026-41949,Dify,MEDIUM,CVSS:3.1/AV:N/AC:H/PR:N/UI:N/S:U/C:H/I:N/A:N,2026,"version <= ""1.14.1""",3,Dify <= 1.14.1 文件预览端点授权绕过漏洞（CWE-639）
CVE-2026-41950,Dify,MEDIUM,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:N/A:N,2026,"version < ""1.14.0""",3,Dify 1.14.0 之前版本存在授权绕过漏洞，已认证用户可通过 chat-messages 接口读取同一租户内其他用户上传的文件内容。
CVE-2026-6617,Dify,MEDIUM,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:L/I:L/A:L,2026,"version <= ""0.6.9""",3,Dify ApiToolManageService 存在服务端请求伪造（SSRF）漏洞
CVE-2026-6618,Dify,MEDIUM,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:L/I:L/A:L,2026,"version <= ""1.13.3""",3,Dify ApiBasedToolSchemaParser 存在通过 url 参数操控的服务端请求伪造漏洞
CVE-2026-6619,Dify,LOW,CVSS:3.1/AV:N/AC:L/PR:L/UI:R/S:U/C:N/I:L/A:N,2026,"version < ""1.13.4""",3,Dify ImagePreview 组件 filename 参数跨站脚本（XSS）漏洞
CVE-2024-10188,LiteLLM,HIGH,CVSS:3.0/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,2024,"version < ""1.53.1.dev1""",4,LiteLLM 由于不当的输入解析而容易受到拒绝服务 (DoS) 攻击。
CVE-2024-2952,LiteLLM,CRITICAL,CVSS:3.0/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,2024,"version < ""1.34.42""",7,LiteLLM 存在服务器端模板注入 (SSTI) 漏洞，可通过 /completions 端点进行利用。
CVE-2024-4264,LiteLLM,HIGH,CVSS:3.1/AV:N/AC:L/PR:H/UI:N/S:U/C:H/I:H/A:H,2024,"version > ""0"" && version <= ""1.28.11""",8,LiteLLM 中因不安全使用 `eval` 函数导致远程代码执行。
CVE-2024-4888,LiteLLM,HIGH,CVSS:3.0/AV:N/AC:L/PR:H/UI:N/S:U/C:N/I:H/A:H,2024,"version < ""1.35.36""",4,LiteLLM 中因不当输入验证导致任意文件删除。
CVE-2024-4889,LiteLLM,HIGH,CVSS:3.0/AV:N/AC:L/PR:H/UI:N/S:U/C:H/I:H/A:H,2024,"version < ""1.34.7""",2,LiteLLM 密钥管理系统中的代码注入漏洞。
CVE-2024-4890,LiteLLM,HIGH,CVSS:3.0/AV:N/AC:L/PR:H/UI:N/S:U/C:H/I:N/A:N,2024,"version <= ""1.27.14""",4,LiteLLM 的 '/team/update' 进程中存在 SQL 注入漏洞。
CVE-2024-5225,LiteLLM,MEDIUM,CVSS:3.0/AV:N/AC:L/PR:L/UI:N/S:C/C:L/I:L/A:N,2024,"version < ""1.40.0""",5,LiteLLM 的 `/global/spend/logs` 端点存在 SQL 注入漏洞。
CVE-2024-5710,LiteLLM,MEDIUM,CVSS:3.1/AV:N/AC:H/PR:L/UI:N/S:U/C:N/I:H/A:N,2024,"version > ""0"" && version < ""1.40.15""",5,LiteLLM 在团队管理中存在不当访问控制漏洞。
CVE-2024-5751,LiteLLM,CRITICAL,CVSS:3.0/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,2024,"version > ""0"" && version < ""1.40.16""",5,LiteLLM 由于不安全地使用 `eval` 而存在远程代码执行漏洞。
CVE-2024-6587,LiteLLM,HIGH,CVSS:3.0/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:N/A:N,2024,"version > ""0"" && version < ""1.44.8""",4,LiteLLM 服务端请求伪造 (SSRF) 漏洞允许 API 密钥泄露。
CVE-2024-6825,LiteLLM,HIGH,CVSS:3.0/AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H,2024,"version > ""1.40.3.dev2"" && version <= ""1.40.12""",5,LiteLLM 由于对 'post_call_rules' 配置处理不当，存在远程代码执行 (RCE) 漏洞。
CVE-2024-8984,LiteLLM,HIGH,CVSS:3.0/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,2024,"version > ""0"" && version < ""1.56.2""",5,LiteLLM 易受通过精心构造的 HTTP 请求发起的拒绝服务 (DoS) 攻击。
CVE-2024-9606,LiteLLM,HIGH,CVSS:3.0/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:N/A:N,2024,"version < ""1.44.12""",4,LiteLLM 由于掩码不足，在日志文件中泄露部分 API 密钥。
CVE-2025-0628,LiteLLM,HIGH,CVSS:3.0/AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:N,2025,"version > ""0"" && version < ""1.61.15""",4,LiteLLM 存在不当授权漏洞，允许权限提升。
CVE-2025-11203,LiteLLM,LOW,CVSS:3.0/AV:N/AC:L/PR:L/UI:R/S:U/C:L/I:N/A:N,2025,,3,LiteLLM 信息健康 API_KEY 信息泄露漏洞。
CVE-2025-45809,LiteLLM,MEDIUM,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:L/I:L/A:N,2025,"version = ""1.65.4""",2,LiteLLM v1.65.4 的 /key/block 端点存在 SQL 注入漏洞。
CVE-2026-35029,LiteLLM,MEDIUM,,2026,"version < ""1.83.0""",1,LiteLLM /config/update 接口缺少管理员权限校验，可导致远程代码执行和账户接管
CVE-2026-35030,LiteLLM,MEDIUM,,2026,"version < ""1.83.0""",1,LiteLLM OIDC userinfo 缓存键碰撞导致认证绕过
CVE-2026-40217,LiteLLM,HIGH,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H,2026,"version <= ""2026.04.08""",2,LiteLLM Guardrail 沙箱逃逸（字节码重写）导致远程代码执行
CVE-2026-42203,LiteLLM,HIGH,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H,2026,"version >= ""1.80.5"" && version < ""1.83.7""",2,LiteLLM 是一款以 OpenAI（或原生）格式调用 LLM API 的代理服务器（AI 网关）
CVE-2026-42208,LiteLLM,CRITICAL,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,2026,"version >= ""1.81.16"" && version < ""1.83.7""",3,LiteLLM 是一款代理服务器（AI 网关），支持以 OpenAI（或原生）格式调用各类 LLM API
CVE-2026-42271,LiteLLM,HIGH,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H,2026,"version >= ""1.74.2"" && version < ""1.83.7""",2,LiteLLM 是一款代理服务器（AI 网关），用于以 OpenAI（或原生）格式调用各类 LLM API
CVE-2026-47101,LiteLLM,HIGH,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H,2026,"version < ""1.83.14""",2,LiteLLM API密钥生成权限提升漏洞（错误授权）
CVE-2026-47102,LiteLLM,HIGH,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H,2026,"version < ""1.83.10""",5,LiteLLM 1.83.10 之前版本存在通过 /user/update 端点进行权限提升的漏洞
CVE-2026-49468,LiteLLM,CRITICAL,,2026,"version < ""1.84.0""",3,litellm Host Header 注入导致认证绕过漏洞
CVE-2024-37895,LobeChat,MEDIUM,CVSS:3.1/AV:N/AC:L/PR:L/UI:R/S:U/C:H/I:N/A:N,2024,"version > ""0"" && version < ""0.162.25""",3,由于对基本 URL 修改处理不当，Lobe Chat 存在 API 密钥泄露漏洞。
CVE-2026-23835,LobeChat,HIGH,CVSS:4.0/AV:N/AC:L/AT:N/PR:L/UI:N/VC:N/VI:H/VA:H/SC:N/SI:N/SA:N/E:P,2026,"version > ""0"" && version < ""1.143.3""",4,LobeHub 的预签名上传功能存在不当授权漏洞，允许攻击者操纵文件大小和路径。
CVE-2026-39411,LobeChat,MEDIUM,CVSS:3.1/AV:N/AC:H/PR:L/UI:N/S:U/C:L/I:L/A:L,2026,"version < ""2.1.48""",3,LobeHub（LobeChat）通过伪造 X-lobe-chat-auth 请求头绕过 webapi 认证
CVE-2026-22168,OpenClaw,MEDIUM,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:N/A:N,2026,"version < ""2026.2.21""",4,OpenClaw Windows system.run 审批不匹配（cmd.exe /c 尾随空格绕过）
CVE-2026-22169,OpenClaw,MEDIUM,CVSS:3.1/AV:L/AC:H/PR:H/UI:N/S:U/C:H/I:H/A:H,2026,"version < ""2026.2.22""",4,OpenClaw 非默认 safeBins 排序配置可绕过预期的执行限制
CVE-2026-22170,OpenClaw,MEDIUM,CVSS:3.1/AV:N/AC:H/PR:N/UI:N/S:U/C:L/I:L/A:N,2026,"version < ""2026.2.22""",5,OpenClaw BlueBubbles（可选插件）配对/白名单不匹配可通过硬重置绕过
CVE-2026-22171,OpenClaw,HIGH,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:L/A:N,2026,"version < ""2026.2.19""",5,openclaw 飞书媒体文件临时路径命名存在路径遍历漏洞，可写入 os.tmpdir() 外的文件
CVE-2026-22172,OpenClaw,CRITICAL,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:C/C:H/I:H/A:H,2026,"version <= ""2026.3.11""",5,OpenClaw：WebSocket 共享认证连接可自行声明提升的权限范围
CVE-2026-22174,OpenClaw,MEDIUM,CVSS:3.1/AV:L/AC:H/PR:N/UI:N/S:U/C:H/I:L/A:N,2026,"version <= ""2026.2.21-2""",4,OpenClaw Loopback CDP 探测可向本地监听器泄露 Gateway 令牌
CVE-2026-22175,OpenClaw,HIGH,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:L/A:N,2026,"version < ""2026.2.23""",4,openclaw 白名单模式下 exec 永久许可可通过未识别的多路复用 shell 包装器（busybox/toybox sh -c）绕过
CVE-2026-22177,OpenClaw,MEDIUM,CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:N/I:H/A:L,2026,"version < ""2026.2.21""",4,OpenClaw 的配置环境变量允许启动环境注入到服务运行时
CVE-2026-22178,OpenClaw,MEDIUM,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:L/A:L,2026,"version < ""2026.2.19""",5,OpenClaw 在处理未转义的飞书 mention 元数据时存在 ReDoS 和正则注入
CVE-2026-22179,OpenClaw,MEDIUM,CVSS:3.1/AV:N/AC:H/PR:H/UI:N/S:U/C:H/I:H/A:H,2026,"version < ""2026.2.22""",4,OpenClaw macOS system.run 白名单通过引号命令替换绕过
CVE-2026-22180,OpenClaw,MEDIUM,CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:L/I:L/A:L,2026,"version <= ""2026.3.1""",4,OpenClaw 统一根边界写入加固（浏览器输出和相关路径）
CVE-2026-22181,OpenClaw,MEDIUM,CVSS:3.1/AV:N/AC:H/PR:L/UI:N/S:U/C:H/I:L/A:L,2026,"version <= ""2026.3.1""",4,OpenClaw web 工具严格 URL 守卫在环境探测禁用时可能丢失 DNS 固定
CVE-2026-22217,OpenClaw,MEDIUM,CVSS:3.1/AV:L/AC:H/PR:L/UI:N/S:U/C:N/I:H/A:L,2026,"version >= ""2026.2.22"" && version < ""2026.2.23""",4,OpenClaw shell-env trusted-prefix 回退允许攻击者控制的环境注入
CVE-2026-24763,OpenClaw,HIGH,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H,2026,"version <= ""2026.1.24""",1,OpenClaw 通过 PATH 环境变量在 Clawdbot Docker 执行中实现命令注入
CVE-2026-24764,OpenClaw,LOW,CVSS:3.1/AV:N/AC:H/PR:L/UI:R/S:U/C:L/I:L/A:N,2026,"version < ""2026.2.3""",1,OpenClaw Slack 集成加固：防止频道元数据影响系统提示词
CVE-2026-25157,OpenClaw,HIGH,CVSS:3.1/AV:L/AC:H/PR:N/UI:R/S:C/C:H/I:H/A:H,2026,"version < ""v2026.1.29""",1,OpenClaw 在 sshNodeCommand 中通过项目根路径实现操作系统命令注入
CVE-2026-25474,OpenClaw,HIGH,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:H/A:N,2026,"version <= ""2026.1.30""",1,OpenClaw 在 webhookSecret 缺失时可能在未验证密钥令牌的情况下接受 Telegram webhook 请求
CVE-2026-25475,OpenClaw,MEDIUM,CVSS:3.1/AV:N/AC:H/PR:L/UI:N/S:U/C:H/I:N/A:N,2026,"version <= ""2026.1.30""",1,OpenClaw 可能通过 MEDIA: 路径暂存泄露本地文件
CVE-2026-25593,OpenClaw,HIGH,CVSS:3.1/AV:L/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,2026,"version < ""2026.1.20""",1,OpenClaw 通过 WebSocket config.apply 实现未认证本地远程代码执行
CVE-2026-26316,OpenClaw,HIGH,,2026,"version < ""2026.2.13""",1,OpenClaw BlueBubbles webhook 通过回环代理信任绕过认证
CVE-2026-26317,OpenClaw,HIGH,,2026,"version <= ""2026.2.13""",1,OpenClaw 通过回环浏览器变更端点实现跨站请求伪造（CSRF）
CVE-2026-26319,OpenClaw,HIGH,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:H/A:N,2026,"version <= ""2026.2.13""",1,OpenClaw Telnyx 提供商 Webhook 认证缺失允许未认证请求
CVE-2026-26320,OpenClaw,HIGH,,2026,"version <= ""2026.2.13""",1,OpenClaw macOS 深层链接确认截断可隐藏实际执行的代理消息
CVE-2026-26321,OpenClaw,HIGH,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:N/A:N,2026,"version < ""2026.2.14""",1,OpenClaw 飞书扩展中 sendMediaFeishu 导致本地文件泄露
CVE-2026-26322,OpenClaw,HIGH,,2026,"version <= ""2026.2.13""",1,OpenClaw Gateway 工具允许不受限制的 gatewayUrl 覆盖
CVE-2026-26323,OpenClaw,MEDIUM,,2026,"version >= ""2026.1.8"" && version < ""2026.2.14""",1,OpenClaw 维护者 clawtributors 更新器中的命令注入
CVE-2026-26324,OpenClaw,HIGH,,2026,"version <= ""2026.2.13""",1,OpenClaw 通过完整格式 IPv4 映射 IPv6 绕过 SSRF 防护（可达回环地址/元数据）
CVE-2026-26325,OpenClaw,HIGH,,2026,"version <= ""2026.2.13""",1,OpenClaw 节点主机 system.run rawCommand/command 不匹配可绕过允许列表/审批
CVE-2026-26326,OpenClaw,MEDIUM,,2026,"version <= ""2026.2.13""",1,OpenClaw skills.status 可向 operator.read 客户端泄露密钥
CVE-2026-26327,OpenClaw,HIGH,,2026,"version <= ""2026.2.13""",1,OpenClaw 未认证的发现 TXT 记录可操纵路由和 TLS 固定
CVE-2026-26328,OpenClaw,MEDIUM,,2026,"version <= ""2026.2.13""",1,OpenClaw iMessage 群组允许列表授权继承了 DM 配对存储身份，导致跨上下文命令授权
CVE-2026-26329,OpenClaw,HIGH,,2026,"version < ""2026.2.14""",1,OpenClaw 浏览器上传中的路径遍历允许读取本地文件
CVE-2026-26972,OpenClaw,MEDIUM,,2026,"version <= ""2026.2.12""",1,OpenClaw 浏览器下载功能中的路径遍历
CVE-2026-27001,OpenClaw,HIGH,,2026,"version < ""2026.2.15""",1,OpenClaw OC-19：未净化的 CWD 路径注入 LLM 提示
