name,product,vendor,category,severity,http_matcher_count,version_extractor_count,file
n8n-mcp,n8n-mcp,czlonkowski,MCP,info,1,0,n8n-mcp.yaml
n8n,n8n-io,n8n-io,Other,info,1,0,n8n.io.yaml
new-api,new-api,quantumnous,API Gateway/Proxy,info,1,1,new-api.yaml
nextchat,nextchat,nextchat,AI Chatbot/UI,info,3,0,nextchat.yaml
nvidia-nim,nvidia-nim,nvidia,LLM Serving,info,1,0,nvidia-nim.yaml
ollama,ollama,ollama,Other,info,1,1,ollama.yaml
omniroute,omniroute,omniroute,AI Chatbot/UI,info,1,0,omniroute.yaml
onyx,onyx,onyx,Other,info,2,0,onyx.yaml
openai-compatible,openai-compatible,generic,Other,info,1,0,openai-compatible.yaml
OpenClaw,openclaw,openclaw,Agent Platform,info,1,1,openclaw.yaml
openwebui,open-webui,open-webui,Other,info,2,1,openwebui.yaml
paperclip,paperclip,paperclipai,Data/Infra,info,1,0,paperclip.yaml
petals,petals,bigscience,LLM Serving,info,1,0,petals.yaml
pgadmin,pgadmin,pgadmin,Dev/Notebook,info,1,1,pgadmin.yaml
pinchtab,pinchtab,pinchtab,AI Chatbot/UI,info,1,1,pinchtab.yaml
pipecat,pipecat,pipecat-ai,Agent Platform,info,1,0,pipecat.yaml
portkey-ai-gateway,portkey-ai-gateway,portkey,API Gateway/Proxy,info,1,0,portkey-ai-gateway.yaml
powerinfer,powerinfer,sjtu-ipads,LLM Serving,info,2,0,powerinfer.yaml
praisonai,praisonai,mervinpraison,Agent Platform,info,1,0,praisonai.yaml
privategpt,privategpt,zylon-ai,AI Chatbot/UI,info,1,0,privategpt.yaml
pyload-ng,pyload,pyload,Dev/Notebook,info,1,0,pyload.yaml
qanything,qanything,netease-youdao,RAG/Knowledge,info,2,0,qanything.yaml
qnabot-on-aws,qnabot-on-aws,aws,Cloud AI Service,info,1,0,qnabot-on-aws.yaml
quivr,quivr,quivrhq,AI Chatbot/UI,info,1,0,quivr.yaml
ragflow,ragflow,ragflow,RAG/Knowledge,info,2,0,ragflow.yaml
ray,dashboard,ray,Other,info,3,0,ray.yaml
replicate,replicate,replicate,Cloud AI Service,info,1,0,replicate.yaml
salesforce-einstein,salesforce-einstein,salesforce,Cloud AI Service,info,1,0,salesforce-einstein.yaml
sglang,sglang,sgl-project,LLM Serving,info,3,1,sglang.yaml
sillytavern,sillytavern,sillytavern,AI Chatbot/UI,info,2,0,sillytavern.yaml
simstudioai,simstudioai,simstudioai,AI Chatbot/UI,info,1,0,sim.yaml
superagi,superagi,transformeroptimus,Agent Platform,info,1,0,superagi.yaml
tabbyapi,tabbyapi,theroyallab,LLM Serving,info,1,0,tabbyapi.yaml
tensorboard,tensorboard,tensorboard,Model Training/ML,info,1,0,tensorboard.yaml
tensorrt-llm,tensorrt-llm,nvidia,LLM Serving,info,3,0,tensorrt-llm.yaml
tensorzero,tensorzero,tensorzero,LLM Serving,info,1,0,tensorzero.yaml
text-generation-webui,text-generation-webui,oobabooga,AI Chatbot/UI,info,1,0,text-generation-webui.yaml
together-ai,together-ai,together,Cloud AI Service,info,1,0,together-ai.yaml
triton-inference-server,triton-inference-server,NVIDIA,LLM Serving,info,2,0,triton.yaml
upsonic,upsonic,upsonic,Agent Platform,info,1,0,upsonic.yaml
vertex-ai,vertex-ai,google,Cloud AI Service,info,1,0,vertex-ai.yaml
vllm,vllm,vllm-project,LLM Serving,info,2,1,vllm.yaml
wallos,wallos,ellite,RAG/Knowledge,info,1,1,wallos.yaml
weknora,weknora,tencent,AI Chatbot/UI,info,1,0,weknora.yaml
Xinference,inference,xorbitsai,Other,info,1,1,xinference.yaml
