component,cve,summary,severity,cvss,rule,has_poc,references_count,file
Clawdbot Gateway,Clawdbot Gateway部署安全提示,Clawdbot Gateway外部开放将导致算力窃取和数据资源滥用,LOW,,"is_internal==""true""",False,0,clawdbot部署安全提示.yaml
ComfyUI-Ace-Nodes,CVE-2024-21577,ComfyUI-Ace-Nodes 存在代码注入漏洞,CRITICAL,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:C/C:H/I:H/A:H,,False,2,CVE-2024-21577.yaml
ComfyUI-Bmad-Nodes,CVE-2024-21576,ComfyUI-Bmad-Nodes 存在代码注入漏洞,CRITICAL,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:C/C:H/I:H/A:H,,False,2,CVE-2024-21576.yaml
ComfyUI-Custom-Scripts,ComfyUI-Custom-Scripts 本地文件读取漏洞,,HIGH,,,False,1,ComfyUI-Custom-Scripts 本地文件读取漏洞.yaml
ComfyUI-Impact-Pack,CVE-2024-21575,ComfyUI-Impact-Pack 存在路径遍历漏洞,CRITICAL,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:C/C:N/I:H/A:N,,False,3,CVE-2024-21575.yaml
ComfyUI-Manager,CVE-2024-21574,ComfyUI 安装自定义节点时的远程代码执行漏洞,CRITICAL,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:C/C:H/I:H/A:H,,False,3,CVE-2024-21574.yaml
ComfyUI-Prompt-Preview,ComfyUI-Prompt-Preview 本地文件读取漏洞,,HIGH,,,False,1,ComfyUI-Prompt-Preview 本地文件读取漏洞.yaml
dify,CVE-2024-10252,Dify Sandbox逃逸漏洞,HIGH,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:C/C:H/I:H/A:H,"version <= ""0.9.1""",False,3,CVE-2024-10252.yaml
dify,CVE-2024-11821,Dify中的权限提升漏洞，可修改Orchestrate指令,MEDIUM,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:N/I:L/A:N,"version == ""0.9.1""",False,2,CVE-2024-11821.yaml
dify,CVE-2024-11822,langgenius/dify中的服务器端请求伪造(SSRF)漏洞,MEDIUM,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:N/A:N,"version < ""0.9.1""",False,2,CVE-2024-11822.yaml
dify,CVE-2024-11824,Dify聊天机器人日志中存在存储型XSS漏洞,MEDIUM,CVSS:3.1/AV:N/AC:H/PR:L/UI:R/S:C/C:H/I:H/A:N,"version < ""0.12.1""",False,3,CVE-2024-11824.yaml
dify,CVE-2024-11850,Dify 中的存储型 XSS 漏洞,MEDIUM,CVSS:3.1/AV:N/AC:L/PR:L/UI:R/S:C/C:H/I:N/A:N,,False,2,CVE-2024-11850.yaml
dify,CVE-2024-12039,Dify 密码重置码猜测次数过多导致管理员账号接管漏洞,HIGH,CVSS:3.1/AV:N/AC:H/PR:N/UI:N/S:C/C:H/I:H/A:N,"version = ""0.10.1""",False,2,CVE-2024-12039.yaml
dify,CVE-2024-12775,dify中的非盲SSRF漏洞,MEDIUM,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:N/A:N,"version = ""0.10.1""",False,2,CVE-2024-12775.yaml
dify,CVE-2024-12776,Dify 密码重置漏洞导致管理员账号接管,HIGH,CVSS:3.1/AV:N/AC:H/PR:N/UI:N/S:C/C:H/I:H/A:H,"version < ""0.10.2""",False,3,CVE-2024-12776.yaml
dify,CVE-2025-0184,Dify的WordExtractor中存在服务器端请求伪造(SSRF)漏洞,MEDIUM,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:C/C:H/I:N/A:N,"version < ""0.11.0""",False,0,CVE-2025-0184.yaml
dify,CVE-2025-0185,Dify 工具 Vanna 模块的 Pandas 查询注入漏洞,HIGH,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:C/C:H/I:H/A:H,,False,3,CVE-2025-0185.yaml
dify,CVE-2025-11750,Dify-web 用户枚举漏洞通过不同的错误消息。,MEDIUM,CVSS:3.0/AV:A/AC:L/PR:N/UI:N/S:U/C:N/I:L/A:N,"version = ""1.6.0""",False,2,CVE-2025-11750.yaml
dify,CVE-2025-1796,Dify 使用弱伪随机数生成器生成密码重置码导致管理员账户接管漏洞,HIGH,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:C/C:H/I:H/A:H,"version < ""0.10.2""",False,3,CVE-2025-1796.yaml
dify,CVE-2025-29720,Dify v1.0包含一个服务器端请求伪造(SSRF)漏洞。,MEDIUM,CVSS:3.1/AV:L/AC:L/PR:L/UI:R/S:U/C:L/I:L/A:L,"version < ""1.0.1""",False,3,CVE-2025-29720.yaml
dify,CVE-2025-3466,Dify中由于代码节点输入未过滤导致的任意代码执行漏洞,CRITICAL,CVSS:3.0/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,"version >= ""1.1.0"" && version <= ""1.1.2""",False,3,CVE-2025-3466.yaml
dify,CVE-2025-3467,Dify 中影响 Firefox 1.1.3 之前版本的 XSS 漏洞,HIGH,CVSS:3.0/AV:N/AC:L/PR:L/UI:R/S:U/C:H/I:H/A:H,"version > ""0"" && version < ""1.1.3""",False,3,CVE-2025-3467.yaml
dify,CVE-2025-55182,Dify 中由于不安全的原型引用导致的远程代码执行 (RCE) 漏洞。,CRITICAL,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,"version >= ""0.9"" && version < ""1.10.1""",False,1,CVE-2025-55182.yaml
dify,CVE-2025-56157,Dify 的 docker-compose.yaml 文件中包含默认凭据，导致未经授权的访问。,CRITICAL,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,"version <= ""1.5.1""",False,9,CVE-2025-56157.yaml
dify,CVE-2025-56520,Dify v1.6.0 中的服务器端请求伪造 (SSRF),MEDIUM,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:L/I:N/A:N,"version == ""1.6.0""",False,2,CVE-2025-56520.yaml
dify,CVE-2025-63386,Dify v1.9.1 的 /console/api/setup 端点存在 CORS 配置错误漏洞。,CRITICAL,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:N,"version == ""1.9.1""",False,4,CVE-2025-63386.yaml
dify,CVE-2025-63387,Dify v1.9.1 存在不安全权限漏洞，允许未经身份验证的用户访问敏感系统配置数据。,HIGH,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:N/A:N,"version == ""1.9.1""",False,7,CVE-2025-63387.yaml
dify,CVE-2025-63388,Dify v1.9.1 存在 CORS 配置错误漏洞，允许未经授权的跨域请求。,CRITICAL,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:N,"version == ""1.9.1""",False,4,CVE-2025-63388.yaml
dify,CVE-2026-34082,Dify 存在越权漏洞（IDOR），允许任意已认证用户删除他人的聊天会话记录,MEDIUM,,"version < ""1.13.1""",False,2,CVE-2026-34082.yaml
dify,CVE-2026-41947,Dify Trace 配置端点授权绕过漏洞,HIGH,CVSS:3.1/AV:N/AC:H/PR:N/UI:N/S:U/C:H/I:H/A:N,"version <= ""1.14.1""",False,3,CVE-2026-41947.yaml
dify,CVE-2026-41948,Dify 通过插件守护进程内部 REST API 的路径穿越漏洞,HIGH,CVSS:3.1/AV:N/AC:H/PR:N/UI:N/S:U/C:H/I:H/A:L,"version <= ""1.14.1""",False,3,CVE-2026-41948.yaml
dify,CVE-2026-41949,Dify <= 1.14.1 文件预览端点授权绕过漏洞（CWE-639）,MEDIUM,CVSS:3.1/AV:N/AC:H/PR:N/UI:N/S:U/C:H/I:N/A:N,"version <= ""1.14.1""",False,3,CVE-2026-41949.yaml
dify,CVE-2026-41950,Dify 1.14.0 之前版本存在授权绕过漏洞，已认证用户可通过 chat-messages 接口读取同一租户内其他用户上传的文件内容。,MEDIUM,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:N/A:N,"version < ""1.14.0""",False,3,CVE-2026-41950.yaml
dify,CVE-2026-6617,Dify ApiToolManageService 存在服务端请求伪造（SSRF）漏洞,MEDIUM,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:L/I:L/A:L,"version <= ""0.6.9""",False,3,CVE-2026-6617.yaml
dify,CVE-2026-6618,Dify ApiBasedToolSchemaParser 存在通过 url 参数操控的服务端请求伪造漏洞,MEDIUM,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:L/I:L/A:L,"version <= ""1.13.3""",False,3,CVE-2026-6618.yaml
dify,CVE-2026-6619,Dify ImagePreview 组件 filename 参数跨站脚本（XSS）漏洞,LOW,CVSS:3.1/AV:N/AC:L/PR:L/UI:R/S:U/C:N/I:L/A:N,"version < ""1.13.4""",False,3,CVE-2026-6619.yaml
LiteLLM,CVE-2024-10188,LiteLLM 由于不当的输入解析而容易受到拒绝服务 (DoS) 攻击。,HIGH,CVSS:3.0/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,"version < ""1.53.1.dev1""",False,4,CVE-2024-10188.yaml
LiteLLM,CVE-2024-2952,LiteLLM 存在服务器端模板注入 (SSTI) 漏洞，可通过 /completions 端点进行利用。,CRITICAL,CVSS:3.0/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,"version < ""1.34.42""",False,7,CVE-2024-2952.yaml
LiteLLM,CVE-2024-4264,LiteLLM 中因不安全使用 `eval` 函数导致远程代码执行。,HIGH,CVSS:3.1/AV:N/AC:L/PR:H/UI:N/S:U/C:H/I:H/A:H,"version > ""0"" && version <= ""1.28.11""",False,8,CVE-2024-4264.yaml
LiteLLM,CVE-2024-4888,LiteLLM 中因不当输入验证导致任意文件删除。,HIGH,CVSS:3.0/AV:N/AC:L/PR:H/UI:N/S:U/C:N/I:H/A:H,"version < ""1.35.36""",False,4,CVE-2024-4888.yaml
LiteLLM,CVE-2024-4889,LiteLLM 密钥管理系统中的代码注入漏洞。,HIGH,CVSS:3.0/AV:N/AC:L/PR:H/UI:N/S:U/C:H/I:H/A:H,"version < ""1.34.7""",False,2,CVE-2024-4889.yaml
LiteLLM,CVE-2024-4890,LiteLLM 的 '/team/update' 进程中存在 SQL 注入漏洞。,HIGH,CVSS:3.0/AV:N/AC:L/PR:H/UI:N/S:U/C:H/I:N/A:N,"version <= ""1.27.14""",False,4,CVE-2024-4890.yaml
LiteLLM,CVE-2024-5225,LiteLLM 的 `/global/spend/logs` 端点存在 SQL 注入漏洞。,MEDIUM,CVSS:3.0/AV:N/AC:L/PR:L/UI:N/S:C/C:L/I:L/A:N,"version < ""1.40.0""",False,5,CVE-2024-5225.yaml
LiteLLM,CVE-2024-5710,LiteLLM 在团队管理中存在不当访问控制漏洞。,MEDIUM,CVSS:3.1/AV:N/AC:H/PR:L/UI:N/S:U/C:N/I:H/A:N,"version > ""0"" && version < ""1.40.15""",False,5,CVE-2024-5710.yaml
LiteLLM,CVE-2024-5751,LiteLLM 由于不安全地使用 `eval` 而存在远程代码执行漏洞。,CRITICAL,CVSS:3.0/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,"version > ""0"" && version < ""1.40.16""",False,5,CVE-2024-5751.yaml
LiteLLM,CVE-2024-6587,LiteLLM 服务端请求伪造 (SSRF) 漏洞允许 API 密钥泄露。,HIGH,CVSS:3.0/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:N/A:N,"version > ""0"" && version < ""1.44.8""",False,4,CVE-2024-6587.yaml
LiteLLM,CVE-2024-6825,LiteLLM 由于对 'post_call_rules' 配置处理不当，存在远程代码执行 (RCE) 漏洞。,HIGH,CVSS:3.0/AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H,"version > ""1.40.3.dev2"" && version <= ""1.40.12""",False,5,CVE-2024-6825.yaml
LiteLLM,CVE-2024-8984,LiteLLM 易受通过精心构造的 HTTP 请求发起的拒绝服务 (DoS) 攻击。,HIGH,CVSS:3.0/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,"version > ""0"" && version < ""1.56.2""",False,5,CVE-2024-8984.yaml
LiteLLM,CVE-2024-9606,LiteLLM 由于掩码不足，在日志文件中泄露部分 API 密钥。,HIGH,CVSS:3.0/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:N/A:N,"version < ""1.44.12""",False,4,CVE-2024-9606.yaml
LiteLLM,CVE-2025-0628,LiteLLM 存在不当授权漏洞，允许权限提升。,HIGH,CVSS:3.0/AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:N,"version > ""0"" && version < ""1.61.15""",False,4,CVE-2025-0628.yaml
LiteLLM,CVE-2025-11203,LiteLLM 信息健康 API_KEY 信息泄露漏洞。,LOW,CVSS:3.0/AV:N/AC:L/PR:L/UI:R/S:U/C:L/I:N/A:N,,False,3,CVE-2025-11203.yaml
LiteLLM,CVE-2025-45809,LiteLLM v1.65.4 的 /key/block 端点存在 SQL 注入漏洞。,MEDIUM,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:L/I:L/A:N,"version = ""1.65.4""",False,2,CVE-2025-45809.yaml
LiteLLM,CVE-2026-35029,LiteLLM /config/update 接口缺少管理员权限校验，可导致远程代码执行和账户接管,MEDIUM,,"version < ""1.83.0""",False,1,CVE-2026-35029.yaml
LiteLLM,CVE-2026-35030,LiteLLM OIDC userinfo 缓存键碰撞导致认证绕过,MEDIUM,,"version < ""1.83.0""",False,1,CVE-2026-35030.yaml
LiteLLM,CVE-2026-40217,LiteLLM Guardrail 沙箱逃逸（字节码重写）导致远程代码执行,HIGH,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H,"version <= ""2026.04.08""",False,2,CVE-2026-40217.yaml
LiteLLM,CVE-2026-42203,LiteLLM 是一款以 OpenAI（或原生）格式调用 LLM API 的代理服务器（AI 网关）,HIGH,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H,"version >= ""1.80.5"" && version < ""1.83.7""",False,2,CVE-2026-42203.yaml
LiteLLM,CVE-2026-42208,LiteLLM 是一款代理服务器（AI 网关），支持以 OpenAI（或原生）格式调用各类 LLM API,CRITICAL,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,"version >= ""1.81.16"" && version < ""1.83.7""",False,3,CVE-2026-42208.yaml
LiteLLM,CVE-2026-42271,LiteLLM 是一款代理服务器（AI 网关），用于以 OpenAI（或原生）格式调用各类 LLM API,HIGH,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H,"version >= ""1.74.2"" && version < ""1.83.7""",False,2,CVE-2026-42271.yaml
LiteLLM,CVE-2026-47101,LiteLLM API密钥生成权限提升漏洞（错误授权）,HIGH,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H,"version < ""1.83.14""",False,2,CVE-2026-47101.yaml
LiteLLM,CVE-2026-47102,LiteLLM 1.83.10 之前版本存在通过 /user/update 端点进行权限提升的漏洞,HIGH,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H,"version < ""1.83.10""",False,5,CVE-2026-47102.yaml
LiteLLM,CVE-2026-49468,litellm Host Header 注入导致认证绕过漏洞,CRITICAL,,"version < ""1.84.0""",False,3,CVE-2026-49468.yaml
LiteLLM,SUPPLY-CHAIN-2025-LITELLM,LiteLLM PyPI 供应链投毒攻击 - 恶意包注入（v1.82.7/v1.82.8）,CRITICAL,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:C/C:H/I:H/A:H,"version >= ""1.82.7"" && version <= ""1.82.8""",False,3,SUPPLY-CHAIN-2025-LITELLM.yaml
LobeChat,CVE-2024-37895,由于对基本 URL 修改处理不当，Lobe Chat 存在 API 密钥泄露漏洞。,MEDIUM,CVSS:3.1/AV:N/AC:L/PR:L/UI:R/S:U/C:H/I:N/A:N,"version > ""0"" && version < ""0.162.25""",False,3,CVE-2024-37895.yaml
LobeChat,CVE-2025-55182,LobeChat 因 React 服务器函数中不安全的原型引用而存在远程代码执行 (RCE) 漏洞。,CRITICAL,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:C/C:H/I:H/A:H,"version <= ""2.0.0""",False,1,CVE-2025-55182.yaml
LobeChat,CVE-2026-23835,LobeHub 的预签名上传功能存在不当授权漏洞，允许攻击者操纵文件大小和路径。,HIGH,CVSS:4.0/AV:N/AC:L/AT:N/PR:L/UI:N/VC:N/VI:H/VA:H/SC:N/SI:N/SA:N/E:P,"version > ""0"" && version < ""1.143.3""",False,4,CVE-2026-23835.yaml
LobeChat,CVE-2026-39411,LobeHub（LobeChat）通过伪造 X-lobe-chat-auth 请求头绕过 webapi 认证,MEDIUM,CVSS:3.1/AV:N/AC:H/PR:L/UI:N/S:U/C:L/I:L/A:L,"version < ""2.1.48""",False,3,CVE-2026-39411.yaml
OpenClaw,CVE-2026-22168,OpenClaw Windows system.run 审批不匹配（cmd.exe /c 尾随空格绕过）,MEDIUM,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:N/A:N,"version < ""2026.2.21""",False,4,CVE-2026-22168.yaml
OpenClaw,CVE-2026-22169,OpenClaw 非默认 safeBins 排序配置可绕过预期的执行限制,MEDIUM,CVSS:3.1/AV:L/AC:H/PR:H/UI:N/S:U/C:H/I:H/A:H,"version < ""2026.2.22""",False,4,CVE-2026-22169.yaml
OpenClaw,CVE-2026-22170,OpenClaw BlueBubbles（可选插件）配对/白名单不匹配可通过硬重置绕过,MEDIUM,CVSS:3.1/AV:N/AC:H/PR:N/UI:N/S:U/C:L/I:L/A:N,"version < ""2026.2.22""",False,5,CVE-2026-22170.yaml
OpenClaw,CVE-2026-22171,openclaw 飞书媒体文件临时路径命名存在路径遍历漏洞，可写入 os.tmpdir() 外的文件,HIGH,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:L/A:N,"version < ""2026.2.19""",False,5,CVE-2026-22171.yaml
OpenClaw,CVE-2026-22172,OpenClaw：WebSocket 共享认证连接可自行声明提升的权限范围,CRITICAL,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:C/C:H/I:H/A:H,"version <= ""2026.3.11""",False,5,CVE-2026-22172.yaml
OpenClaw,CVE-2026-22174,OpenClaw Loopback CDP 探测可向本地监听器泄露 Gateway 令牌,MEDIUM,CVSS:3.1/AV:L/AC:H/PR:N/UI:N/S:U/C:H/I:L/A:N,"version <= ""2026.2.21-2""",False,4,CVE-2026-22174.yaml
OpenClaw,CVE-2026-22175,openclaw 白名单模式下 exec 永久许可可通过未识别的多路复用 shell 包装器（busybox/toybox sh -c）绕过,HIGH,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:L/A:N,"version < ""2026.2.23""",False,4,CVE-2026-22175.yaml
OpenClaw,CVE-2026-22177,OpenClaw 的配置环境变量允许启动环境注入到服务运行时,MEDIUM,CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:N/I:H/A:L,"version < ""2026.2.21""",False,4,CVE-2026-22177.yaml
OpenClaw,CVE-2026-22178,OpenClaw 在处理未转义的飞书 mention 元数据时存在 ReDoS 和正则注入,MEDIUM,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:L/A:L,"version < ""2026.2.19""",False,5,CVE-2026-22178.yaml
OpenClaw,CVE-2026-22179,OpenClaw macOS system.run 白名单通过引号命令替换绕过,MEDIUM,CVSS:3.1/AV:N/AC:H/PR:H/UI:N/S:U/C:H/I:H/A:H,"version < ""2026.2.22""",False,4,CVE-2026-22179.yaml
OpenClaw,CVE-2026-22180,OpenClaw 统一根边界写入加固（浏览器输出和相关路径）,MEDIUM,CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:L/I:L/A:L,"version <= ""2026.3.1""",False,4,CVE-2026-22180.yaml
OpenClaw,CVE-2026-22181,OpenClaw web 工具严格 URL 守卫在环境探测禁用时可能丢失 DNS 固定,MEDIUM,CVSS:3.1/AV:N/AC:H/PR:L/UI:N/S:U/C:H/I:L/A:L,"version <= ""2026.3.1""",False,4,CVE-2026-22181.yaml
OpenClaw,CVE-2026-22217,OpenClaw shell-env trusted-prefix 回退允许攻击者控制的环境注入,MEDIUM,CVSS:3.1/AV:L/AC:H/PR:L/UI:N/S:U/C:N/I:H/A:L,"version >= ""2026.2.22"" && version < ""2026.2.23""",False,4,CVE-2026-22217.yaml
